sample	disposition	genbank_accession	biosample_acc
SRR969361	Available	GCA_001025945.1	SAMN02338807
SRR969376	Available	GCA_001026035.1	SAMN02338822
ERR191799	Available	GCA_001086405.1	SAMEA1690324
ERR223667	Available	GCA_001092305.1	SAMEA1690505
ERR191804	Available	GCA_001099825.1	SAMEA1690335
ERR223677	Available	GCA_001102165.1	SAMEA1690321
ERR223666	Available	GCA_001084125.1	SAMEA1690369
ERR223634	Available	GCA_001112845.1	SAMEA1690370
ERR191795	Available	GCA_001117305.1	SAMEA1690323
ERR223628	Available	GCA_001125445.1	SAMEA1690490
ERR222926	Available	GCA_001099685.1	SAMEA1677451
ERR191766	Available	GCA_001126045.1	SAMEA1690348
ERR191805	Available	GCA_001121745.1	SAMEA1690318
ERR191808	Available	GCA_001354835.1	SAMEA1690380
ERR191797	Available	GCA_001354935.1	SAMEA1690406
ERR223676	Available	GCA_001355335.1	SAMEA1690487
ERR223691	Available	GCA_001354915.1	SAMEA1690404
SRR23096792	Available	GCA_028483175.2	SAMN32765978
SRR969345	Available	GCA_001025525.1	SAMN02338794
SRR969386	Available	GCA_001025715.1	SAMN02338832
SRR969395	Available	GCA_001025905.1	SAMN02338842
SRR969370	Available	GCA_001025995.1	SAMN02338816
SRR969393	Available	GCA_001026645.1	SAMN02338840
ERR191747	Available	GCA_001135285.1	SAMEA1690333
ERR222930	Available	GCA_001138225.1	SAMEA1677436
ERR223607	Available	GCA_001140465.1	SAMEA1690416
ERR223612	Available	GCA_001141185.1	SAMEA1690364
ERR191796	Available	GCA_001144225.1	SAMEA1690449
ERR223672	Available	GCA_001146365.1	SAMEA1690478
ERR223627	Available	GCA_001152885.1	SAMEA1690392
ERR222893	Available	GCA_001158885.1	SAMEA1677303
ERR191789	Available	GCA_001162645.1	SAMEA1690456
ERR223614	Available	GCA_001163365.1	SAMEA1690408
ERR191733	Available	GCA_001103845.1	SAMEA1690372
ERR222895	Available	GCA_001109425.1	SAMEA1677456
ERR222940	Available	GCA_001153985.1	SAMEA1677419
ERR191798	Available	GCA_001128745.1	SAMEA1690374
ERR222925	Available	GCA_001130585.1	SAMEA1677433
ERR223610	Available	GCA_001354755.1	SAMEA1690354
ERR191737	Available	GCA_001354775.1	SAMEA1690356
ERR191817	Available	GCA_001354955.1	SAMEA1690414
ERR191783	Available	GCA_001355275.1	SAMEA1690476
SRR8566814	Available	GCA_009650075.1	SAMN10920452
SRR26324406	Available	GCA_032460605.1	SAMN36700584
SRR26715167	Available	GCA_033798605.1	SAMN38152951
ERR191767	Available	GCA_001097605.1	SAMEA1690327
ERR223621	Available	GCA_001100365.1	SAMEA1690344
ERR222935	Available	GCA_001109305.1	SAMEA1677300
ERR223688	Available	GCA_001115505.1	SAMEA1690446
ERR222922	Available	GCA_001126285.1	SAMEA1677410
SRR969392	Available	GCA_001026485.1	SAMN02338839
SRR969368	Available	GCA_001025645.1	SAMN02338814
SRR969380	Available	GCA_001026065.1	SAMN02338826
ERR223663	Available	GCA_001167005.1	SAMEA1690439
ERR223615	Available	GCA_001172285.1	SAMEA1690493
ERR191736	Available	GCA_001140325.1	SAMEA1690387
ERR191755	Available	GCA_001140845.1	SAMEA1690504
ERR191823	Available	GCA_001147865.1	SAMEA1690461
ERR191812	Available	GCA_001147965.1	SAMEA1690385
ERR191787	Available	GCA_001150905.1	SAMEA1690397
ERR223648	Available	GCA_001156005.1	SAMEA1690320
ERR223693	Available	GCA_001158545.1	SAMEA1690426
ERR191730	Available	GCA_001158945.1	SAMEA1690394
ERR223670	Available	GCA_001159665.1	SAMEA1690343
ERR222905	Available	GCA_001161785.1	SAMEA1677491
ERR191824	Available	GCA_001162805.1	SAMEA1690325
ERR223680	Available	GCA_001170125.1	SAMEA1690389
ERR222931	Available	GCA_001319205.1	SAMEA1677483
ERR191825	Available	GCA_001354675.1	SAMEA1690331
ERR191768	Available	GCA_001354795.1	SAMEA1690361
ERR191802	Available	GCA_001146925.1	SAMEA1690440
ERR223685	Available	GCA_001149765.1	SAMEA1690483
ERR222918	Available	GCA_001153945.1	SAMEA1677425
ERR222936	Available	GCA_001156065.1	SAMEA1677343
SRR969356	Available	GCA_001025915.1	SAMN02338805
SRR960561	Available	GCA_001026145.1	SAMN02338783
SRR969349	Available	GCA_001026175.1	SAMN02338798
SRR969354	Available	GCA_001026245.1	SAMN02338803
SRR969378	Available	GCA_001026395.1	SAMN02338824
SRR969383	Available	GCA_001026405.1	SAMN02338829
SRR969388	Available	GCA_001026475.1	SAMN02338834
ERR191738	Available	GCA_001099005.1	SAMEA1690379
ERR222917	Available	GCA_001103185.1	SAMEA1677431
ERR191769	Available	GCA_001083925.1	SAMEA1690366
ERR191788	Available	GCA_001084345.1	SAMEA1690474
ERR222929	Available	GCA_001116905.1	SAMEA1677438
ERR222941	Available	GCA_001092465.1	SAMEA1677355
ERR223633	Available	GCA_001100605.1	SAMEA1690463
