sample	disposition	genbank_accession	biosample_acc
SRR8560578	Available	GCA_037885495.1	SAMN10914588
SRR8566490	Available	GCA_037885025.1	SAMN10920913
SRR8566495	Available	GCA_037884705.1	SAMN10920916
SRR16683668	Available	GCA_037720765.1	SAMN22824044
SRR16683689	Available	GCA_037720065.1	SAMN22824025
SRR16683721	Available	GCA_037718825.1	SAMN22823996
SRR16683469	Available	GCA_037728245.1	SAMN22824143
SRR16683636	Available	GCA_037721915.1	SAMN22824325
SRR16683651	Available	GCA_037721345.1	SAMN22824060
SRR16683663	Available	GCA_037721025.1	SAMN22824049
SRR16683867	Available	GCA_037715905.1	SAMN22824192
ERR1082249	Available	GCA_037715285.1	SAMEA3463182
SRR1661237	Available	GCA_042111445.1	SAMN03201583
SRR1661285	Available	GCA_042111145.1	SAMN03201631
SRR1661292	Available	GCA_042062135.1	SAMN03201638
SRR1661300	Available	GCA_042061895.1	SAMN03201646
SRR1661280	Available	GCA_042062075.1	SAMN03201626
SRR1661194	Available	GCA_042063195.1	SAMN03201540
SRR1661249	Available	GCA_042062475.1	SAMN03201595
SRR1661251	Available	GCA_042062495.1	SAMN03201597
SRR1661276	Available	GCA_042062235.1	SAMN03201622
SRR1661289	Available	GCA_042111065.1	SAMN03201635
SRR1661311	Available	GCA_042061635.1	SAMN03201657
DRR124695	Available	GCA_042061355.1	SAMD00099407
DRR124788	Available	GCA_042059595.1	SAMD00099500
DRR124843	Available	GCA_042058685.1	SAMD00099555
SRR7226409	Available	GCA_042056955.1	SAMN09273308
SRR7226416	Available	GCA_042056795.1	SAMN09273307
DRR124717	Available	GCA_042060975.1	SAMD00099429
DRR124749	Available	GCA_042060395.1	SAMD00099461
DRR124876	Available	GCA_042057915.1	SAMD00099588
SRR7226397	Available	GCA_042057235.1	SAMN09273323
SRR7226412	Available	GCA_042056895.1	SAMN09273303
DRR124821	Available	GCA_042058975.1	SAMD00099533
DRR124833	Available	GCA_042058655.1	SAMD00099545
DRR124756	Available	GCA_042060255.1	SAMD00099468
DRR124728	Available	GCA_042060735.1	SAMD00099440
SRR6765295	Available	GCA_042054975.1	SAMN08583278
SRR6765406	Available	GCA_042053335.1	SAMN08583302
SRR6765417	Available	GCA_042053115.1	SAMN08583481
SRR6765469	Available	GCA_042052395.1	SAMN08583451
SRR6765494	Available	GCA_042052035.1	SAMN08583407
DRR117958	Available	GCA_042056675.1	SAMD00105878
DRR129100	Available	GCA_042055035.1	SAMD00116675
SRR6765328	Available	GCA_042054515.1	SAMN08583429
SRR6765500	Available	GCA_042051915.1	SAMN08583504
SRR6765522	Available	GCA_042051515.1	SAMN08583291
SRR6765525	Available	GCA_042051495.1	SAMN08583292
SRR6765567	Available	GCA_042050935.1	SAMN08583256
SRR6765625	Available	GCA_042050155.1	SAMN08583178
SRR6765631	Available	GCA_042050035.1	SAMN08583414
SRR6765663	Available	GCA_042049555.1	SAMN08583568
SRR6765675	Available	GCA_042049435.1	SAMN08583537
ERR3623139	Available	GCA_042048515.1	SAMEA6124269
ERR3623146	Available	GCA_042048415.1	SAMEA6124276
ERR3623161	Available	GCA_042048175.1	SAMEA6124289
ERR3623170	Available	GCA_042048015.1	SAMEA6124298
SRR8559762	Available	GCA_041978845.1	SAMN10913271
SRR8559829	Available	GCA_041969945.1	SAMN10913080
SRR8559859	Available	GCA_041969345.1	SAMN10913238
SRR8559884	Available	GCA_041968865.1	SAMN10912830
SRR8560318	Available	GCA_041961305.1	SAMN10914958
SRR8560350	Available	GCA_041960635.1	SAMN10915018
SRR8559181	Available	GCA_041995825.1	SAMN10913509
SRR8559196	Available	GCA_041995505.1	SAMN10913308
SRR8559240	Available	GCA_041994685.1	SAMN10913329
SRR8559290	Available	GCA_041993625.1	SAMN10912895
SRR8559296	Available	GCA_041993545.1	SAMN10913025
SRR8559368	Available	GCA_041992085.1	SAMN10912988
SRR8559393	Available	GCA_041991645.1	SAMN10913607
SRR8559425	Available	GCA_041991005.1	SAMN10913167
SRR8559452	Available	GCA_041990505.1	SAMN10912952
SRR8559495	Available	GCA_041989665.1	SAMN10913127
SRR8559626	Available	GCA_041985345.1	SAMN10912881
SRR8559654	Available	GCA_041982755.1	SAMN10913185
SRR8559659	Available	GCA_041982595.1	SAMN10913038
SRR8559710	Available	GCA_041979885.1	SAMN10913340
SRR8559778	Available	GCA_041978515.1	SAMN10913109
SRR8559813	Available	GCA_041970225.1	SAMN10913442
SRR8559823	Available	GCA_041970065.1	SAMN10913221
SRR8559861	Available	GCA_041969545.1	SAMN10913236
SRR8559943	Available	GCA_041967745.1	SAMN10912852
SRR8559948	Available	GCA_041967625.1	SAMN10912853
SRR8559953	Available	GCA_041967525.1	SAMN10913418
SRR8559958	Available	GCA_041967385.1	SAMN10913421
SRR8560028	Available	GCA_041966905.1	SAMN10914986
SRR8560036	Available	GCA_041966815.1	SAMN10915101
SRR8560051	Available	GCA_041966525.1	SAMN10914798
SRR8560068	Available	GCA_041966185.1	SAMN10914673
SRR8560073	Available	GCA_041966085.1	SAMN10914846
SRR8560086	Available	GCA_041965785.1	SAMN10915137
SRR8560102	Available	GCA_041965685.1	SAMN10915068
SRR8560112	Available	GCA_041965315.1	SAMN10914937
SRR8560205	Available	GCA_041963455.1	SAMN10914766
SRR8560250	Available	GCA_041962655.1	SAMN10914755
SRR8560357	Available	GCA_041960535.1	SAMN10915081
SRR8560381	Available	GCA_041960075.1	SAMN10914601
SRR8559755	Available	GCA_041978985.1	SAMN10913266
SRR8559964	Available	GCA_041967345.1	SAMN10913276
SRR8560017	Available	GCA_041967155.1	SAMN10915053
SRR8560092	Available	GCA_041965605.1	SAMN10915139
SRR8560159	Available	GCA_041964395.1	SAMN10915091
SRR8560234	Available	GCA_041962915.1	SAMN10914668
SRR8566576	Available	GCA_037883035.1	SAMN10921007
SRR8566623	Available	GCA_037881805.1	SAMN10920403
SRR8566628	Available	GCA_037881565.1	SAMN10920406
SRR8566653	Available	GCA_037880495.1	SAMN10920582
SRR8566722	Available	GCA_037879025.1	SAMN10921175
SRR8566775	Available	GCA_037877935.1	SAMN10920833
SRR8566780	Available	GCA_037877835.1	SAMN10920789
SRR8566800	Available	GCA_037877415.1	SAMN10921031
SRR8566856	Available	GCA_037876205.1	SAMN10921095
SRR8566861	Available	GCA_037876085.1	SAMN10921100
SRR8566988	Available	GCA_037873535.1	SAMN10920907
SRR8566993	Available	GCA_037873425.1	SAMN10920904
SRR8567057	Available	GCA_037872165.1	SAMN10921012
SRR8567060	Available	GCA_037872125.1	SAMN10921015
SRR8567075	Available	GCA_037871815.1	SAMN10920821
SRR8567085	Available	GCA_037871595.1	SAMN10920739
SRR8567142	Available	GCA_037870555.1	SAMN10920744
SRR8567212	Available	GCA_037869225.1	SAMN10920762
SRR8567229	Available	GCA_037868885.1	SAMN10920900
SRR8567234	Available	GCA_037868765.1	SAMN10920893
SRR8567249	Available	GCA_037868455.1	SAMN10920717
SRR8567264	Available	GCA_037868115.1	SAMN10920967
SRR8560407	Available	GCA_041959435.1	SAMN10914741
SRR8560427	Available	GCA_041959475.1	SAMN10914816
SRR8560447	Available	GCA_041958755.1	SAMN10914972
SRR8560503	Available	GCA_041957815.1	SAMN10915142
SRR8560508	Available	GCA_041957525.1	SAMN10915070
SRR8560518	Available	GCA_037886855.1	SAMN10914820
SRR8560520	Available	GCA_037886795.1	SAMN10914822
SRR8560525	Available	GCA_037886635.1	SAMN10914827
SRR8560533	Available	GCA_037886495.1	SAMN10914904
SRR8560535	Available	GCA_037886475.1	SAMN10914908
SRR8560540	Available	GCA_037886355.1	SAMN10914616
SRR8560565	Available	GCA_037885855.1	SAMN10914948
SRR8560595	Available	GCA_037885185.1	SAMN10914867
SRR8566487	Available	GCA_037885065.1	SAMN10920919
SRR8566518	Available	GCA_037884245.1	SAMN10921154
SRR8566523	Available	GCA_037884145.1	SAMN10920792
SRR8566593	Available	GCA_037882385.1	SAMN10920811
SRR8566598	Available	GCA_037882315.1	SAMN10920820
SRR8566666	Available	GCA_037880255.1	SAMN10920428
SRR8566669	Available	GCA_037880195.1	SAMN10920423
SRR8566711	Available	GCA_037879225.1	SAMN10920492
SRR8566716	Available	GCA_037879125.1	SAMN10920495
SRR8566725	Available	GCA_037878965.1	SAMN10921079
SRR8566727	Available	GCA_037878945.1	SAMN10921077
SRR8566737	Available	GCA_037878725.1	SAMN10920925
SRR8566828	Available	GCA_037876895.1	SAMN10920502
SRR8566830	Available	GCA_037876855.1	SAMN10920504
SRR8566864	Available	GCA_037876045.1	SAMN10920490
SRR8566904	Available	GCA_037875155.1	SAMN10921054
SRR8566914	Available	GCA_037874935.1	SAMN10920446
SRR8566956	Available	GCA_037874195.1	SAMN10920773
SRR8566966	Available	GCA_037873975.1	SAMN10920886
SRR8566971	Available	GCA_037873875.1	SAMN10920881
SRR8566976	Available	GCA_037873775.1	SAMN10921116
SRR8566986	Available	GCA_037873555.1	SAMN10920905
SRR8567021	Available	GCA_037872845.1	SAMN10921125
SRR8567036	Available	GCA_037872585.1	SAMN10921081
SRR8567118	Available	GCA_037870935.1	SAMN10920437
SRR8567170	Available	GCA_037870025.1	SAMN10920784
SRR8567175	Available	GCA_037869925.1	SAMN10920785
SRR8560555	Available	GCA_037886055.1	SAMN10915020
SRR8560511	Available	GCA_037886955.1	SAMN10915077
SRR8566692	Available	GCA_037879795.1	SAMN10920756
SRR8566694	Available	GCA_037879735.1	SAMN10920758
SRR8566704	Available	GCA_037879365.1	SAMN10920760
SRR8566942	Available	GCA_037874435.1	SAMN10920555
SRR8567046	Available	GCA_037872385.1	SAMN10920480
SRR8567121	Available	GCA_037870895.1	SAMN10920648
SRR8566555	Available	GCA_037883375.1	SAMN10921027
SRR8566699	Available	GCA_037879465.1	SAMN10920753
SRR8566842	Available	GCA_037876565.1	SAMN10920727
SRR16999318	Available	GCA_042072175.1	SAMN13918490
SRR16999330	Available	GCA_042071985.1	SAMN13918471
SRR16999423	Available	GCA_042070285.1	SAMN14404044
SRR16999482	Available	GCA_042069185.1	SAMN14078978
SRR16999517	Available	GCA_042068525.1	SAMN13838357
SRR16999525	Available	GCA_042068425.1	SAMN13928394
SRR16999577	Available	GCA_042067465.1	SAMN13975289
SRR16999582	Available	GCA_042067355.1	SAMN13975360
SRR16999322	Available	GCA_042072085.1	SAMN13918456
SRR16999342	Available	GCA_042071725.1	SAMN15970656
SRR16999346	Available	GCA_042071645.1	SAMN15970827
SRR16999394	Available	GCA_042070865.1	SAMN17298518
SRR16999401	Available	GCA_042070745.1	SAMN17298499
SRR16999411	Available	GCA_042070545.1	SAMN14484865
SRR16999433	Available	GCA_042070145.1	SAMN14347656
SRR16999441	Available	GCA_042069965.1	SAMN14226342
SRR16999443	Available	GCA_042069925.1	SAMN14226339
SRR16999481	Available	GCA_042069225.1	SAMN14078980
SRR16999553	Available	GCA_042067945.1	SAMN14170469
SRR16999596	Available	GCA_042067105.1	SAMN13957826
SRR16999648	Available	GCA_042066045.1	SAMN14640490
SRR16999662	Available	GCA_042065805.1	SAMN14640478
SRR16999682	Available	GCA_042065365.1	SAMN14544059
SRR16999684	Available	GCA_042065345.1	SAMN14544057
SRR16999697	Available	GCA_042065105.1	SAMN14502225
SRR16999700	Available	GCA_042065085.1	SAMN13957823
SRR16999705	Available	GCA_042064965.1	SAMN13957818
SRR8559170	Available	GCA_041996005.1	SAMN10913549
SRR8559245	Available	GCA_041994515.1	SAMN10913326
SRR8559484	Available	GCA_041989865.1	SAMN10913059
SRR8559511	Available	GCA_041989345.1	SAMN10913178
SRR8559541	Available	GCA_041988705.1	SAMN10912961
SRR8559606	Available	GCA_041986305.1	SAMN10913320
SRR8559608	Available	GCA_041986245.1	SAMN10913318
SRR8559616	Available	GCA_041985745.1	SAMN10913137
SRR8559628	Available	GCA_041985485.1	SAMN10912875
SRR8559912	Available	GCA_041968305.1	SAMN10913527
SRR8560012	Available	GCA_041967225.1	SAMN10914864
SRR8560077	Available	GCA_041965945.1	SAMN10914842
SRR8560127	Available	GCA_041964985.1	SAMN10915048
SRR8560174	Available	GCA_041963955.1	SAMN10914893
SRR8560184	Available	GCA_041964075.1	SAMN10915009
SRR8560194	Available	GCA_041963685.1	SAMN10914996
SRR8560281	Available	GCA_041962025.1	SAMN10914968
SRR8566816	Available	GCA_037877115.1	SAMN10921142
SRR8560402	Available	GCA_041959635.1	SAMN10914748
SRR8560422	Available	GCA_041959545.1	SAMN10914813
SRR8560432	Available	GCA_041959065.1	SAMN10914874
SRR8560442	Available	GCA_041958895.1	SAMN10914977
SRR8560462	Available	GCA_041958475.1	SAMN10914780
SRR8566508	Available	GCA_037884425.1	SAMN10920867
SRR8566548	Available	GCA_037883515.1	SAMN10921131
SRR8566588	Available	GCA_037882505.1	SAMN10920818
SRR8566613	Available	GCA_037881965.1	SAMN10921143
SRR8566618	Available	GCA_037881865.1	SAMN10920707
SRR8566643	Available	GCA_037881255.1	SAMN10920953
SRR8566648	Available	GCA_037881055.1	SAMN10921171
SRR8566730	Available	GCA_037878835.1	SAMN10921076
SRR8566742	Available	GCA_037878585.1	SAMN10920922
SRR8566760	Available	GCA_037878245.1	SAMN10920591
SRR8566765	Available	GCA_037878075.1	SAMN10920839
SRR8566770	Available	GCA_037877975.1	SAMN10920836
SRR8566785	Available	GCA_037877755.1	SAMN10920846
SRR8566790	Available	GCA_037877655.1	SAMN10920851
SRR8566836	Available	GCA_037876705.1	SAMN10920721
SRR8566866	Available	GCA_037876005.1	SAMN10920484
SRR8566871	Available	GCA_037875905.1	SAMN10920485
SRR8566876	Available	GCA_037875825.1	SAMN10920618
SRR8566958	Available	GCA_037874135.1	SAMN10920771
SRR8566973	Available	GCA_037873855.1	SAMN10920883
SRR8567137	Available	GCA_037870655.1	SAMN10920747
SRR8567187	Available	GCA_037869725.1	SAMN10920620
SRR8567192	Available	GCA_037869625.1	SAMN10920544
SRR8567224	Available	GCA_037868985.1	SAMN10921199
SRR8567244	Available	GCA_037868535.1	SAMN10920714
SRR8560417	Available	GCA_041959555.1	SAMN10914656
SRR8560467	Available	GCA_041958375.1	SAMN10914946
SRR8560484	Available	GCA_041958055.1	SAMN10914689
SRR8560498	Available	GCA_041957585.1	SAMN10915110
SRR8560528	Available	GCA_037886575.1	SAMN10914901
SRR8560560	Available	GCA_037885975.1	SAMN10914726
SRR8560575	Available	GCA_037885575.1	SAMN10914581
SRR8560580	Available	GCA_037885475.1	SAMN10914567
SRR8560585	Available	GCA_037885375.1	SAMN10914560
SRR8566492	Available	GCA_037884945.1	SAMN10920911
SRR8566534	Available	GCA_037883955.1	SAMN10920521
SRR8566537	Available	GCA_037883895.1	SAMN10920528
SRR8566583	Available	GCA_037882975.1	SAMN10920950
SRR8566664	Available	GCA_037880295.1	SAMN10920426
SRR8566671	Available	GCA_037880155.1	SAMN10920429
SRR8566674	Available	GCA_037880115.1	SAMN10920674
SRR8566685	Available	GCA_037879895.1	SAMN10920572
SRR8566717	Available	GCA_037879145.1	SAMN10920498
SRR8566840	Available	GCA_037876625.1	SAMN10920725
SRR8566874	Available	GCA_037875845.1	SAMN10920616
SRR8566884	Available	GCA_037875665.1	SAMN10920595
SRR8566909	Available	GCA_037875055.1	SAMN10920449
SRR8566961	Available	GCA_037874055.1	SAMN10920776
SRR8567108	Available	GCA_037871175.1	SAMN10921050
SRR8567113	Available	GCA_037871055.1	SAMN10920434
SRR8566582	Available	GCA_037882995.1	SAMN10921001
SRR8560501	Available	GCA_041957865.1	SAMN10915140
SRR8566682	Available	GCA_037879955.1	SAMN10920575
SRR8567041	Available	GCA_037872485.1	SAMN10920475
SRR8567106	Available	GCA_037871225.1	SAMN10921046
SRR8560496	Available	GCA_041957625.1	SAMN10915119
SRR8560506	Available	GCA_041957575.1	SAMN10915072
SRR8567111	Available	GCA_037871095.1	SAMN10920440
SRR16999310	Available	GCA_042072325.1	SAMN13918482
SRR16999355	Available	GCA_042071525.1	SAMN14835701
SRR16999375	Available	GCA_042071105.1	SAMN13825622
SRR16999497	Available	GCA_042068905.1	SAMN13975300
SRR16999502	Available	GCA_042068825.1	SAMN13871901
SRR16999505	Available	GCA_042068765.1	SAMN13873877
SRR16999569	Available	GCA_042067605.1	SAMN13975297
SRR16999619	Available	GCA_042066665.1	SAMN13896488
SRR16999622	Available	GCA_042066605.1	SAMN13918334
SRR16999647	Available	GCA_042066105.1	SAMN14640491
SRR16999687	Available	GCA_042065305.1	SAMN14640472
SRR16999689	Available	GCA_042065265.1	SAMN14544044
SRR16999334	Available	GCA_042071885.1	SAMN13918503
SRR16999367	Available	GCA_042071225.1	SAMN14835673
SRR16999368	Available	GCA_042071265.1	SAMN14835672
SRR16999371	Available	GCA_042071165.1	SAMN14835670
SRR16999458	Available	GCA_042069665.1	SAMN14210594
SRR16999506	Available	GCA_042068725.1	SAMN13873876
SRR16999530	Available	GCA_042068345.1	SAMN13896506
SRR16999722	Available	GCA_042064725.1	SAMN13871913
SRR16999743	Available	GCA_042064445.1	SAMN14214362
SRR16999752	Available	GCA_042064285.1	SAMN14291739
SRR16643993	Available	GCA_037840485.1	SAMN12545760
SRR16644364	Available	GCA_037832565.1	SAMN13839986
SRR16644506	Available	GCA_037829795.1	SAMN12788900
SRR16644603	Available	GCA_037827985.1	SAMN12610009
SRR16644120	Available	GCA_037838165.1	SAMN12708648
SRR16644130	Available	GCA_037837965.1	SAMN13825611
SRR16644292	Available	GCA_037834845.1	SAMN12718963
SRR16644329	Available	GCA_037833855.1	SAMN12587530
SRR16644359	Available	GCA_037832855.1	SAMN13840027
SRR16644548	Available	GCA_037828935.1	SAMN11811044
SRR16644576	Available	GCA_037828465.1	SAMN12788883
SRR16644605	Available	GCA_037827905.1	SAMN12609994
SRR16644608	Available	GCA_037827865.1	SAMN13839960
SRR16643924	Available	GCA_037841795.1	SAMN13323839
SRR16644076	Available	GCA_037838995.1	SAMN12587552
SRR16644092	Available	GCA_037838695.1	SAMN12587538
SRR16644182	Available	GCA_037836895.1	SAMN12276137
SRR16644218	Available	GCA_037836255.1	SAMN13839965
SRR16644228	Available	GCA_037836075.1	SAMN12610005
SRR16644362	Available	GCA_037832795.1	SAMN13840003
SRR16644447	Available	GCA_037830855.1	SAMN13330252
SRR16644523	Available	GCA_037829455.1	SAMN13839879
SRR16644533	Available	GCA_037829275.1	SAMN13447507
SRR16644600	Available	GCA_037828005.1	SAMN12610016
SRR16644610	Available	GCA_037827755.1	SAMN13839958
SRR16644620	Available	GCA_037827595.1	SAMN13839917
SRR16643919	Available	GCA_037841885.1	SAMN12635958
SRR16644046	Available	GCA_037839605.1	SAMN11811029
SRR16644226	Available	GCA_037836095.1	SAMN12609993
SRR16644233	Available	GCA_037835955.1	SAMN12610000
SRR16644260	Available	GCA_037835495.1	SAMN13149160
SRR16644313	Available	GCA_037834395.1	SAMN12718962
SRR16644367	Available	GCA_037832585.1	SAMN13840006
SRR16644407	Available	GCA_037831685.1	SAMN13446566
SRR16644442	Available	GCA_037830955.1	SAMN11341588
SRR16644452	Available	GCA_037830735.1	SAMN12880959
SRR16643912	Available	GCA_037841985.1	SAMN11108606
SRR16644141	Available	GCA_037837725.1	SAMN13323441
SRR16644201	Available	GCA_037836575.1	SAMN13840014
SRR16644276	Available	GCA_037835145.1	SAMN13149127
SRR16644318	Available	GCA_037834235.1	SAMN12718957
SRR16644592	Available	GCA_037828145.1	SAMN12610022
SRR16644632	Available	GCA_037827415.1	SAMN13513325
SRR16644664	Available	GCA_037826705.1	SAMN12995211
SRR16644679	Available	GCA_037826385.1	SAMN11341577
SRR16644684	Available	GCA_037826325.1	SAMN12545779
SRR16644689	Available	GCA_037826185.1	SAMN12349449
SRR16644709	Available	GCA_037825805.1	SAMN11618842
SRR16683445	Available	GCA_037728785.1	SAMN22824165
SRR16683465	Available	GCA_037728345.1	SAMN22824147
SRR16683553	Available	GCA_037724865.1	SAMN22823960
SRR16683573	Available	GCA_037724125.1	SAMN22823941
SRR16683583	Available	GCA_037723645.1	SAMN22823911
SRR16683603	Available	GCA_037723085.1	SAMN22824170
SRR16683608	Available	GCA_037722875.1	SAMN22824070
SRR16683613	Available	GCA_037722725.1	SAMN22823891
SRR16683635	Available	GCA_037722035.1	SAMN22824326
SRR16683645	Available	GCA_037721605.1	SAMN22824065
SRR16683685	Available	GCA_037720275.1	SAMN22824029
SRR16683690	Available	GCA_037720045.1	SAMN22824024
SRR16683705	Available	GCA_037719465.1	SAMN22823903
SRR16683710	Available	GCA_037719285.1	SAMN22824006
SRR16683516	Available	GCA_037726285.1	SAMN22823968
SRR16683746	Available	GCA_037718345.1	SAMN22824301
SRR16683756	Available	GCA_037718145.1	SAMN22824292
SRR16683766	Available	GCA_037717965.1	SAMN22824284
SRR16683771	Available	GCA_037717815.1	SAMN22824280
SRR16683811	Available	GCA_037717035.1	SAMN22824243
SRR16683823	Available	GCA_037716795.1	SAMN22824232
SRR16683848	Available	GCA_037716315.1	SAMN22824210
SRR16683858	Available	GCA_037716065.1	SAMN22823922
SRR16683863	Available	GCA_037715945.1	SAMN22824196
SRR16683873	Available	GCA_037715785.1	SAMN22824188
SRR16683878	Available	GCA_037715685.1	SAMN22824183
SRR23462767	Available	GCA_037715365.1	SAMN33303302
SRR1661208	Available	GCA_042062935.1	SAMN03201554
SRR1661247	Available	GCA_042062555.1	SAMN03201593
SRR1661310	Available	GCA_042061695.1	SAMN03201656
SRR1661183	Available	GCA_042063415.1	SAMN03201529
SRR1661238	Available	GCA_042111425.1	SAMN03201584
SRR1661284	Available	GCA_042062015.1	SAMN03201630
SRR1661288	Available	GCA_042111105.1	SAMN03201634
SRR1661171	Available	GCA_042111675.1	SAMN03201517
SRR1661286	Available	GCA_042111095.1	SAMN03201632
SRR1661293	Available	GCA_042062035.1	SAMN03201639
SRR1661262	Available	GCA_042062355.1	SAMN03201608
DRR124870	Available	GCA_042058055.1	SAMD00099582
DRR124873	Available	GCA_042057995.1	SAMD00099585
SRR7226396	Available	GCA_042057295.1	SAMN09273330
SRR7226411	Available	GCA_042056975.1	SAMN09273302
DRR124820	Available	GCA_042058995.1	SAMD00099532
DRR124830	Available	GCA_042058795.1	SAMD00099542
SRR7226398	Available	GCA_042057175.1	SAMN09273322
DRR124757	Available	GCA_042060215.1	SAMD00099469
DRR124812	Available	GCA_042059155.1	SAMD00099524
DRR124834	Available	GCA_042058615.1	SAMD00099546
DRR124718	Available	GCA_042060955.1	SAMD00099430
DRR124761	Available	GCA_042060115.1	SAMD00099473
SRR7226402	Available	GCA_042057155.1	SAMN09273326
DRR124750	Available	GCA_042060375.1	SAMD00099462
SRR6765403	Available	GCA_042053395.1	SAMN08583209
SRR6765448	Available	GCA_042052715.1	SAMN08583240
SRR6765490	Available	GCA_042052095.1	SAMN08583409
SRR6765518	Available	GCA_042051555.1	SAMN08583219
SRR6765520	Available	GCA_042051595.1	SAMN08583299
SRR6765547	Available	GCA_042051155.1	SAMN08583172
SRR6765583	Available	GCA_042050675.1	SAMN08583371
SRR6765593	Available	GCA_042050495.1	SAMN08583183
SRR6765658	Available	GCA_042049615.1	SAMN08583565
ERR3623127	Available	GCA_042048765.1	SAMEA6124256
ERR3623130	Available	GCA_042048695.1	SAMEA6124259
ERR3623165	Available	GCA_042048115.1	SAMEA6124293
ERR3623185	Available	GCA_042047755.1	SAMEA6124313
ERR3623187	Available	GCA_042047655.1	SAMEA6124315
ERR3623189	Available	GCA_042047615.1	SAMEA6124317
ERR3623200	Available	GCA_042047395.1	SAMEA6124328
ERR3623219	Available	GCA_042047055.1	SAMEA6124346
ERR3623233	Available	GCA_042046775.1	SAMEA6124360
ERR3623415	Available	GCA_042045895.1	SAMEA6124430
ERR3623428	Available	GCA_042045615.1	SAMEA6124442
ERR3623435	Available	GCA_042045515.1	SAMEA6124449
ERR3623442	Available	GCA_042045395.1	SAMEA6124456
ERR3623482	Available	GCA_042044575.1	SAMEA6124495
DRR237481	Available	GCA_042018205.1	SAMD00235444
DRR237556	Available	GCA_042016745.1	SAMD00235519
DRR248357	Available	GCA_042016585.1	SAMD00247484
DRR248385	Available	GCA_042015935.1	SAMD00247512
DRR248418	Available	GCA_042015365.1	SAMD00247545
DRR248437	Available	GCA_042014995.1	SAMD00247564
SRR12011630	Available	GCA_042014335.1	SAMN15235521
DRR237451	Available	GCA_042019045.1	SAMD00235419
DRR237478	Available	GCA_042018565.1	SAMD00235441
DRR237487	Available	GCA_042018045.1	SAMD00235450
DRR248378	Available	GCA_042016115.1	SAMD00247505
DRR248403	Available	GCA_042015645.1	SAMD00247530
ERR1469574	Available	GCA_042013395.1	SAMEA3373466
ERR1469676	Available	GCA_042011775.1	SAMEA3390282
ERR1514686	Available	GCA_042009565.1	SAMEA3431699
ERR1514706	Available	GCA_042009175.1	SAMEA3431724
ERR1514751	Available	GCA_042008265.1	SAMEA3431776
ERR1514788	Available	GCA_042007485.1	SAMEA3432363
ERR1514796	Available	GCA_042007365.1	SAMEA3432419
ERR1514818	Available	GCA_042006905.1	SAMEA3432441
ERR1528209	Available	GCA_042004845.1	SAMEA3431927
ERR1528334	Available	GCA_042002345.1	SAMEA3431810
ERR1549738	Available	GCA_042001105.1	SAMEA3468193
ERR1549754	Available	GCA_042000785.1	SAMEA3468227
ERR1549771	Available	GCA_042000445.1	SAMEA3468140
ERR1549791	Available	GCA_042000145.1	SAMEA3468188
ERR1555158	Available	GCA_041999965.1	SAMEA3468198
ERR1555187	Available	GCA_041978125.1	SAMEA3468246
ERR1555238	Available	GCA_041977405.1	SAMEA3468297
ERR1560784	Available	GCA_041976985.1	SAMEA3485573
ERR1560789	Available	GCA_041976845.1	SAMEA3485578
ERR1560895	Available	GCA_041974925.1	SAMEA3485684
ERR1560930	Available	GCA_041974305.1	SAMEA3485720
ERR1602777	Available	GCA_041973155.1	SAMEA3485403
ERR1602787	Available	GCA_041973005.1	SAMEA3485413
ERR1680294	Available	GCA_041972665.1	SAMEA3390219
ERR1514730	Available	GCA_042008655.1	SAMEA3431751
ERR1514807	Available	GCA_042007165.1	SAMEA3432430
ERR1528250	Available	GCA_042003885.1	SAMEA3431798
ERR1549785	Available	GCA_042000165.1	SAMEA3468176
ERR1555224	Available	GCA_041977665.1	SAMEA3468283
ERR1469646	Available	GCA_042012115.1	SAMEA3390237
ERR1469673	Available	GCA_042011795.1	SAMEA3390279
ERR1471126	Available	GCA_042010275.1	SAMEA3373476
ERR1514768	Available	GCA_042007905.1	SAMEA3431986
ERR1514778	Available	GCA_042007725.1	SAMEA3432001
ERR1514810	Available	GCA_042007125.1	SAMEA3432433
ERR1528169	Available	GCA_042005505.1	SAMEA3431852
ERR1528171	Available	GCA_042005445.1	SAMEA3431855
ERR1528318	Available	GCA_042002665.1	SAMEA3431778
ERR1549680	Available	GCA_042002265.1	SAMEA3468090
ERR1549756	Available	GCA_042000765.1	SAMEA3468231
ERR1560796	Available	GCA_041976765.1	SAMEA3485585
ERR1560806	Available	GCA_041976585.1	SAMEA3485595
ERR1560919	Available	GCA_041974385.1	SAMEA3485709
ERR1469602	Available	GCA_042012805.1	SAMEA3373503
ERR1469738	Available	GCA_042010865.1	SAMEA3374710
ERR1514775	Available	GCA_042007785.1	SAMEA3431998
ERR1514795	Available	GCA_042007385.1	SAMEA3432418
ERR1528150	Available	GCA_042005865.1	SAMEA3431812
ERR1528185	Available	GCA_042005225.1	SAMEA3431883
ERR1528196	Available	GCA_042004965.1	SAMEA3431904
ERR1528285	Available	GCA_042003305.1	SAMEA3431866
ERR1549684	Available	GCA_042002185.1	SAMEA3468094
ERR1549693	Available	GCA_042002025.1	SAMEA3468105
ERR1555181	Available	GCA_041999465.1	SAMEA3468240
ERR1560827	Available	GCA_041976175.1	SAMEA3485616
ERR1602770	Available	GCA_041973265.1	SAMEA3485396
